Zip,Latitude,Longitude
90296,33.786594,-118.298662
95209,38.035499,-121.34378
95231,37.882742,-121.27978
95314,38.033541,-119.92502
95986,39.340422,-120.79166
91046,33.786594,-118.298662
95678,38.752434,-121.28933
95937,38.931025,-121.94518
96096,40.63446,-121.91202
91110,33.786594,-118.298662
94038,37.52489,-122.50991
90209,33.786594,-118.298662
94177,37.784827,-122.727802
95433,38.313864,-122.513093
91104,34.169356,-118.12392
95471,38.522499,-122.97967
93429,34.842293,-120.5318
93792,36.746375,-119.639658
94278,38.377411,-121.444429
94605,37.763028,-122.16305
95372,37.991855,-120.25829
90231,33.786594,-118.298662
91775,34.114041,-118.09035
91778,33.786594,-118.298662
92368,34.634147,-117.30614
94606,37.793177,-122.24352
95124,37.256743,-121.92312
93024,34.032383,-119.1343
95644,38.463282,-120.550021
96067,41.317771,-122.31207
94044,37.613806,-122.48229
95194,37.189396,-121.705327
94519,37.984271,-122.01437
93067,34.421895,-119.60084
96128,40.34863,-120.4065
95991,39.114138,-121.6196
96053,40.446063,-120.664132
92648,33.673468,-118.00243
90622,33.640302,-117.769442
96129,39.772064,-120.405095
92373,34.034714,-117.17305
94130,37.819423,-122.36966
91795,33.786594,-118.298662
92085,33.016928,-116.846046
94090,37.189396,-121.705327
95453,39.051698,-122.92071
95814,38.580255,-121.49125
96135,40.02349,-120.79861
90834,33.767817,-118.199401
92561,33.632049,-116.55878
92862,33.640302,-117.769442
93960,36.41176,-121.32617
94548,37.972622,-121.665205
95342,37.367315,-120.570634
92886,33.888062,-117.80407
95449,38.955142,-123.08125
95457,38.911393,-122.599
94159,37.784827,-122.727802
94167,37.784827,-122.727802
94617,37.807827,-122.271652
91496,33.786594,-118.298662
92504,33.926315,-117.40937
95634,38.930207,-120.78557
95713,39.092062,-120.93471
96022,40.360583,-122.33544
91106,34.142557,-118.12715
91976,33.016928,-116.846046
90041,34.137557,-118.20765
90248,33.870466,-118.28813
95669,38.480569,-120.86895
94125,37.784827,-122.727802
95531,41.782681,-124.16703
96106,39.743835,-120.58114
94497,37.534736,-122.32588
95254,38.192911,-120.95775
95620,38.427208,-121.81348
95646,38.688329,-120.05516
90004,34.07711,-118.30755
90019,34.048411,-118.34015
90058,34.000219,-118.22605
90185,33.786594,-118.298662
95155,37.189396,-121.705327
95560,40.131417,-123.85855
95944,39.545514,-120.88512
96084,40.871548,-121.98807
92226,33.59869,-114.652517
93505,35.139327,-117.91473
95929,39.731406,-121.801215
91616,33.786594,-118.298662
92335,34.088911,-117.45213
92552,33.752886,-116.055617
93120,34.262834,-119.848555
95442,38.367948,-122.52468
94929,38.246611,-122.95916
95728,39.311156,-120.41039
95830,38.498156,-121.2651
91522,33.786594,-118.298662
91841,33.786594,-118.298662
92326,34.839964,-115.967051
94061,37.463911,-122.23396
90066,34.002011,-118.43083
92833,33.874314,-117.9637
93420,35.119678,-120.55116
95108,37.189396,-121.705327
93093,34.032383,-119.1343
92142,33.016928,-116.846046
94040,37.380207,-122.08787
94538,37.527237,-121.9679
95642,38.359772,-120.75324
94566,37.658898,-121.87149
92242,34.137179,-114.35823
92698,33.640302,-117.769442
94705,37.856926,-122.25084
91771,33.786594,-118.298662
91950,32.670903,-117.09272
92159,33.016928,-116.846046
92586,33.70602,-117.1974
95454,39.745588,-123.5223
95671,38.377411,-121.444429
92174,33.016928,-116.846046
95551,40.659753,-124.22153
94913,38.068036,-122.740988
95853,38.377411,-121.444429
96222,40.385673,-122.279739
91701,34.131659,-117.5924
92899,33.640302,-117.769442
95545,40.281369,-124.08998
92825,33.640302,-117.769442
95388,37.400193,-120.61094
90660,33.989013,-118.08912
